row_id,pheno0,pheno1,pheno3,pheno4,pheno5,pheno6,pheno8,pheno9,pheno11,pheno12,pheno13,pheno14,pheno15,pheno16,pheno17,pheno18,pheno19,pheno20,pheno21,pheno22,pheno23,pheno24,pheno25,pheno27,pheno28,pheno29,pheno30,pheno31,pheno32,pheno33,pheno34,pheno35,pheno36,pheno37,pheno38,pheno39,pheno43,pheno44,pheno45,pheno46,pheno48,pheno49,pheno50,pheno51,pheno52,pheno53,pheno54,pheno55,pheno57,pheno58,pheno59,pheno60,pheno61,pheno62,pheno63,pheno64,pheno65,pheno66,pheno67,pheno68,pheno69,pheno70,pheno71,pheno72,pheno73,pheno74,pheno75,pheno76,pheno77,pheno78,pheno79,pheno80,pheno81,pheno82,pheno83,pheno84,pheno85,pheno86,pheno87,pheno88,pheno90,pheno91,pheno92,pheno93,pheno94,pheno95,pheno96,pheno97,pheno98,pheno99
site-2_prs_pheno0,1.58895,0.06214,-0.01229,0.10371,0.09602,-0.0234,0.13185,0.11144,0.13461,-0.02274,-0.08459,-0.14765,0.06729,0.01755,0.02677,-0.01008,-0.12864,-0.18305,-0.08122,0.0391,-0.17056,-0.04946,-0.02091,0.10223,-0.12822,-0.29163,-0.23668,-0.14973,0.00339,0.01172,0.09272,0.07116,0.09237,0.08591,0.10335,-0.18624,-0.01677,0.04709,-0.16704,-0.06704,-0.09969,0.07916,0.09151,-0.04058,-0.02765,-0.28802,-0.07744,-0.10754,0.06557,0.07045,0.12127,-0.17086,0.10656,0.04467,-0.18588,-0.00408,-0.17632,-0.03313,0.06979,-0.08273,-0.00764,-0.16237,0.05275,0.01827,0.09261,0.05904,-0.00752,-0.04892,0.12263,-0.1509,-0.12082,0.08873,-0.03551,-0.06459,-0.01305,-0.03584,0.08005,-0.06056,-0.09061,-0.15889,0.10414,0.11101,-0.21083,-0.12368,-0.28879,0.03604,0.13306,-0.02156,-0.1159,0.02806
site-2_prs_pheno1,-0.00528,1.1978,0.04658,0.32265,-0.03028,0.03533,0.09337,-0.02488,0.1007,-0.14155,0.27191,0.1214,0.00164,0.07754,0.00239,-0.07099,-0.10255,-0.03595,-0.19573,0.10967,-0.16574,-0.07858,-0.04318,-0.03473,0.00851,0.08635,-0.36835,-0.01932,-0.15523,-0.19535,-0.04549,0.14787,0.06063,0.02907,-0.11129,-0.23476,-0.09424,0.00088,0.00315,-0.16588,-0.05041,0.1902,0.28147,-0.0792,0.1047,-0.02509,0.06565,0.03212,-0.1288,0.11319,0.00106,-0.0503,0.15279,0.09165,0.02819,0.08398,0.08826,-0.0079,0.07685,-0.03006,-0.07083,0.18616,-0.19402,0.00194,-0.01159,0.16575,0.03437,0.01745,0.01167,-0.17265,-0.29625,-0.19315,-0.13757,0.22932,-0.00017,-0.099,-0.06992,0.13367,-0.03403,0.0142,0.01581,0.04983,-0.11763,0.09678,0.05022,0.16274,0.02112,0.00556,0.1773,-0.07807
site-2_prs_pheno2,-0.08329,0.26752,0.00628,0.12032,-0.1086,-0.10273,-0.02408,-0.05755,0.08253,0.23518,0.00837,-0.16927,-0.14201,-0.15052,-0.05378,-0.196,0.10489,0.0929,-0.16705,-0.12823,0.0155,-0.11336,0.02689,-0.04546,-0.16716,-0.12873,0.11038,-0.05846,-0.05982,-0.01699,-0.05935,-0.07431,-0.22876,0.06611,-0.02598,0.01185,-0.19501,-0.15109,-0.10534,0.02032,-0.10608,0.06565,0.24487,-0.04298,0.00121,-0.01397,0.00745,-0.0067,-0.23833,0.02363,0.066,-0.21845,-0.09775,-0.03579,-0.05026,0.13553,-0.08245,0.06095,0.17662,-0.14723,0.02284,-0.06156,-0.27407,-0.12265,0.14609,0.14314,-0.03899,0.09086,-0.1579,-0.12887,0.11243,-0.06341,0.12881,-0.0968,-0.32204,-0.24696,-0.06125,-0.01761,-0.16076,0.02068,-0.18933,-0.04287,0.06913,0.07379,-0.18416,0.07179,-0.07747,-0.10841,0.06375,-0.08527
site-2_prs_pheno3,-0.10668,0.15601,1.02965,0.01764,0.03761,-0.04774,0.0548,0.02458,6e-05,0.0099,-0.07612,0.09686,-0.09494,0.03152,0.04552,0.0834,0.31012,-0.06201,-0.07755,-0.0417,-0.11098,0.10897,-0.04306,-0.01855,0.07829,0.01359,0.00721,-0.08521,-0.04526,-0.10157,0.00312,-0.01877,0.00673,0.01307,-0.07409,0.13125,-0.00409,-0.00896,0.03102,-0.01904,0.09748,-0.05556,-0.06581,-0.15656,-0.19529,-0.27684,-0.15498,-0.08206,-0.14279,0.1472,0.12131,-0.20024,-0.14596,-0.0462,0.02768,0.09874,-0.09897,-0.0178,0.15854,-0.00441,0.08138,-0.08965,-0.14895,0.09474,0.23975,0.09254,-0.05403,0.03574,-0.04338,-0.02147,0.19034,-0.18132,0.21599,0.04461,-0.00459,-0.20829,-0.00857,-0.09678,0.04778,0.23843,-0.25653,0.14098,0.06685,0.29701,0.16964,-0.02109,0.09291,0.0154,-0.13375,-0.00553
site-2_prs_pheno4,0.10348,0.22043,0.20622,1.02879,0.03897,-0.00073,0.35713,0.07677,0.03236,0.05958,-0.07791,-0.03118,0.0045,-0.07946,-0.00336,0.08047,-0.17114,0.15408,0.05147,-0.13282,-0.009,-0.0511,0.13629,0.20202,0.03104,-0.08302,-0.30325,0.00173,0.04187,-0.19557,0.12061,0.07093,0.09045,0.03444,0.01852,-0.081,0.06747,-0.13769,0.0655,0.0465,0.09184,-0.06719,0.31776,-0.23091,0.08518,-0.07736,-0.08928,0.01955,-0.14128,0.18301,-0.23387,0.02096,0.00319,-0.07196,0.11313,0.06287,-0.04233,0.04495,-0.10274,0.00241,0.13346,-0.11425,-0.20652,-0.21995,-0.14737,0.10456,0.04684,-0.04473,0.00503,-0.12506,-0.15677,-0.30726,-0.05495,0.03335,0.16601,-0.08878,0.03861,0.07346,-0.06936,0.20998,0.20571,0.25823,-0.05144,-0.03491,0.07848,0.15732,-0.10155,0.12989,0.02896,-0.00341
site-2_prs_pheno5,-0.09214,-0.02082,0.07453,0.08591,0.77184,-0.00166,0.07241,0.04899,-0.11216,0.14407,-0.0284,0.23498,0.05815,0.08721,-0.02107,0.1221,0.08177,0.02585,0.05437,0.15555,0.09048,-0.00621,0.05753,0.05709,0.04319,-0.01449,-0.0792,-0.03206,-0.04191,-0.19455,0.18311,-0.05926,-0.00813,0.0225,0.15352,-0.0987,0.04078,-0.15732,0.01279,-0.10619,-0.05468,0.04071,0.02767,0.05251,-0.01917,-0.17547,0.03792,-0.02736,0.0296,0.13747,0.02679,0.24333,0.19156,0.02618,-0.1126,0.17374,-0.0797,0.01038,-0.04182,0.18593,0.18566,0.04406,0.07251,0.04454,-0.1691,-0.02777,0.02119,0.03137,0.10426,-0.10135,-0.04194,0.07561,0.11624,0.05169,0.13289,0.02637,0.0454,0.20756,0.14985,-0.01666,0.06193,-0.20683,-0.06614,0.0993,0.05586,-0.01888,-0.03145,0.05058,-0.10913,0.06858
site-2_prs_pheno6,-0.26852,0.0379,-0.08131,-0.03448,-0.04392,0.93421,-0.00873,0.18549,0.02528,0.15205,-0.10297,-0.1526,0.23399,0.10207,-0.0454,-0.16282,-0.04745,-0.03208,0.11255,0.03416,-0.03283,-0.09648,-0.01314,-0.10768,-0.07649,0.18875,0.1025,-0.09491,0.10626,0.07859,0.00577,-0.05239,-0.00779,-0.04409,0.0749,-0.07738,-0.02848,0.02575,-0.05535,-0.06709,0.03091,0.02774,-0.21263,0.06324,0.00024,-0.04951,-0.22446,0.03067,-0.08786,-0.20421,0.03638,-0.11529,0.0018,0.04885,-0.11414,-0.16257,0.03992,-0.07138,0.02729,0.05633,-0.08357,0.1461,0.12423,0.13907,0.12685,0.03042,0.09795,0.16797,-0.05083,-0.16834,-0.05202,-0.00482,0.14907,0.23818,-0.04249,-0.01239,-0.03497,0.07899,0.06433,0.04842,0.34016,-0.07323,-0.11191,-0.02787,-0.20478,-0.10717,0.00822,-0.03844,0.0953,0.0738
site-2_prs_pheno7,-0.26934,0.32561,-0.06223,0.29944,-0.00909,0.00167,0.11387,0.02157,0.19698,0.02872,0.17727,0.10912,-0.01302,0.00646,0.08761,0.00206,-0.20099,0.21917,0.07018,-0.00749,-0.07858,-0.04551,0.04626,0.18252,0.09828,0.0338,-0.34936,0.0185,0.1265,-0.2213,-0.02008,0.16893,-0.08428,0.05969,-0.15732,-0.14799,0.0775,-0.02908,-0.02737,0.01308,0.231,0.01331,0.24526,-0.05483,0.14502,0.02695,0.06256,0.0034,0.0205,0.13192,-0.08345,0.1006,0.06243,-0.09576,-0.11981,0.10756,0.0297,-0.03939,0.10002,0.04997,-0.06376,0.11895,-0.13447,-0.18203,-0.19134,0.11837,-0.02895,0.0128,-0.01828,-0.05639,-0.28572,-0.13478,-0.32347,0.16344,0.3034,-0.12599,0.05816,0.15828,-0.03941,0.04582,-0.04597,0.03408,-0.10244,-0.06369,0.00113,0.12339,0.02825,-0.09218,0.10061,-0.10964
site-2_prs_pheno8,0.20361,0.04465,0.11547,0.24983,-0.03625,0.08136,0.96692,0.16405,-0.02371,-0.11983,0.05666,-0.17017,-0.00319,-0.08823,-0.02328,-0.11912,-0.00433,-0.1032,-0.05874,0.01573,-0.03403,-0.00472,0.02275,0.13034,-0.10621,-0.00611,-0.04954,0.02623,0.10451,-0.08252,0.01613,0.02642,0.02379,0.10452,0.12658,-0.11822,-0.0706,-0.06555,-0.06255,-0.15562,0.0135,-0.04436,0.22735,0.18263,0.24818,-0.03322,-0.09024,-0.16564,0.12835,0.03273,-0.08987,-0.0494,-0.14351,0.06103,0.13432,-0.01732,0.12183,-0.06925,0.14929,0.01382,-0.06057,-0.23332,-0.0014,-0.10948,0.05682,0.10398,0.01442,-0.01998,0.02929,-0.11451,-0.06473,-0.38857,-0.19476,-0.15451,0.10489,-0.08487,-0.01062,-0.17339,-0.00278,0.03354,0.08675,0.21538,-0.12986,-0.07026,0.02849,0.02022,0.00251,0.11444,0.10973,-0.00825
site-2_prs_pheno9,0.01111,0.21934,0.08014,0.1183,-0.07235,0.10098,0.03745,1.0529,-0.12586,-0.11935,0.12286,-0.16917,0.07773,-0.14379,-0.00821,0.04516,-0.15114,-0.10952,0.01505,0.07353,-0.04477,-0.10813,0.01823,0.01186,0.13461,0.08432,0.25754,-0.04283,0.17306,-0.16778,0.09647,0.09688,0.0026,0.00176,-0.05744,0.07942,0.19325,0.07359,-0.07856,-0.02225,0.04153,0.18002,0.12718,-0.07542,-0.06052,0.17375,-0.01275,-0.02699,0.0917,0.02118,0.09426,0.15512,0.09386,0.18333,-0.07628,0.04058,0.27353,-0.1436,0.06633,-0.17802,0.05489,0.23638,-0.06387,-0.10076,0.04043,-0.16683,0.12584,-0.0506,-0.05872,0.18764,-0.04226,0.24607,-0.32202,0.10043,0.04826,0.056,-0.13393,0.01454,0.0882,-0.0078,0.22813,-0.04507,-0.08055,-0.11023,0.00546,-0.05625,0.0581,-0.04705,0.13964,-0.05302
